,holiday,workingday,temp,atemp,humidity,windspeed,casual,registered,count,hour,year,1_x,2_x,3_x,4_x,1_y,2_y,3_y,4_y
0,0,0,0.741392239424,0.792816108001,1.19113540327,0.775436990311,3,13,16,0.498190735608,0.498070916774,1,0,0,0,1,0,0,0
1,0,0,0.720984076158,0.775811968835,1.18113540327,0.775436990311,8,32,40,0.541668996477,0.498070916774,1,0,0,0,1,0,0,0
2,0,0,0.720984076158,0.775811968835,1.18113540327,0.775436990311,5,27,32,0.585147257347,0.498070916774,1,0,0,0,1,0,0,0
3,0,0,0.741392239424,0.792816108001,1.13113540327,0.775436990311,3,10,13,0.628625518216,0.498070916774,1,0,0,0,1,0,0,0
4,0,0,0.741392239424,0.792816108001,1.13113540327,0.775436990311,0,1,1,0.672103779086,0.498070916774,1,0,0,0,1,0,0,0
5,0,0,0.741392239424,0.758919699006,1.13113540327,0.88076201676,0,1,1,0.715582039956,0.498070916774,0,1,0,0,1,0,0,0
6,0,0,0.720984076158,0.775811968835,1.18113540327,0.775436990311,2,0,2,0.759060300825,0.498070916774,1,0,0,0,1,0,0,0
7,0,0,0.700575912893,0.758919699006,1.24113540327,0.775436990311,1,2,3,0.802538561695,0.498070916774,1,0,0,0,1,0,0,0
8,0,0,0.741392239424,0.792816108001,1.13113540327,0.775436990311,1,7,8,0.846016822564,0.498070916774,1,0,0,0,1,0,0,0
9,0,0,0.823024892485,0.860608925989,1.14113540327,0.775436990311,8,6,14,0.889495083434,0.498070916774,1,0,0,0,1,0,0,0
10,0,0,0.884249382281,0.911397604812,1.14113540327,1.07366198149,12,24,36,0.932973344303,0.498070916774,1,0,0,0,1,0,0,0
11,0,0,0.863841219016,0.843604786824,1.19113540327,1.10880950706,26,30,56,0.976451605173,0.498070916774,1,0,0,0,1,0,0,0
12,0,0,0.925065708812,0.945294013807,1.15113540327,1.10880950706,29,55,84,1.01992986604,0.498070916774,1,0,0,0,1,0,0,0
13,0,0,0.965882035342,0.979190422801,1.10113540327,1.12632449472,47,47,94,1.06340812691,0.498070916774,0,1,0,0,1,0,0,0
14,0,0,0.965882035342,0.979190422801,1.10113540327,1.10880950706,35,71,106,1.10688638778,0.498070916774,0,1,0,0,1,0,0,0
15,0,0,0.945473872077,0.962298152972,1.15113540327,1.12632449472,40,70,110,1.15036464865,0.498070916774,0,1,0,0,1,0,0,0
16,0,0,0.925065708812,0.945294013807,1.20113540327,1.12632449472,41,52,93,1.19384290952,0.498070916774,0,1,0,0,1,0,0,0
17,0,0,0.945473872077,0.962298152972,1.20113540327,1.10880950706,15,52,67,1.23732117039,0.498070916774,0,1,0,0,1,0,0,0
18,0,0,0.925065708812,0.945294013807,1.26113540327,1.07366198149,9,26,35,1.28079943126,0.498070916774,0,0,1,0,1,0,0,0
19,0,0,0.925065708812,0.945294013807,1.26113540327,1.07366198149,6,31,37,1.32427769213,0.498070916774,0,0,1,0,1,0,0,0
20,0,0,0.904657545546,0.928401743978,1.25113540327,1.07366198149,11,25,36,1.367755953,0.498070916774,0,1,0,0,1,0,0,0
21,0,0,0.904657545546,0.928401743978,1.25113540327,1.00348448061,3,31,34,1.41123421387,0.498070916774,0,1,0,0,1,0,0,0
22,0,0,0.904657545546,0.928401743978,1.32113540327,1.03863200618,11,17,28,1.45471247474,0.498070916774,0,1,0,0,1,0,0,0
23,0,0,0.965882035342,0.979190422801,1.26113540327,1.12632449472,15,24,39,1.49819073561,0.498070916774,0,1,0,0,1,0,0,0
24,0,0,0.965882035342,0.979190422801,1.26113540327,1.12632449472,4,13,17,0.498190735608,0.498070916774,0,1,0,0,1,0,0,0
25,0,0,0.945473872077,0.962298152972,1.32113540327,1.07366198149,1,16,17,0.541668996477,0.498070916774,0,1,0,0,1,0,0,0
26,0,0,0.925065708812,0.945294013807,1.38113540327,1.10880950706,1,8,9,0.585147257347,0.498070916774,0,1,0,0,1,0,0,0
27,0,0,0.965882035342,0.979190422801,1.32113540327,1.00348448061,2,4,6,0.628625518216,0.498070916774,0,1,0,0,1,0,0,0
28,0,0,0.965882035342,0.979190422801,1.32113540327,1.00348448061,2,1,3,0.672103779086,0.498070916774,0,1,0,0,1,0,0,0
29,0,0,0.925065708812,0.945294013807,1.15113540327,1.12632449472,0,2,2,0.759060300825,0.498070916774,0,0,1,0,1,0,0,0
30,0,0,0.904657545546,0.928401743978,1.14113540327,1.00348448061,0,1,1,0.802538561695,0.498070916774,0,1,0,0,1,0,0,0
31,0,0,0.904657545546,0.928401743978,1.09113540327,1.03863200618,0,8,8,0.846016822564,0.498070916774,0,0,1,0,1,0,0,0
32,0,0,0.884249382281,0.911397604812,1.14113540327,1.03863200618,1,19,20,0.889495083434,0.498070916774,0,1,0,0,1,0,0,0
33,0,0,0.863841219016,0.860608925989,1.19113540327,1.03863200618,7,46,53,0.932973344303,0.498070916774,0,1,0,0,1,0,0,0
34,0,0,0.863841219016,0.843604786824,1.09113540327,1.07366198149,16,54,70,0.976451605173,0.498070916774,0,1,0,0,1,0,0,0
35,0,0,0.863841219016,0.843604786824,1.04113540327,1.12632449472,20,73,93,1.01992986604,0.498070916774,0,1,0,0,1,0,0,0
36,0,0,0.863841219016,0.860608925989,1.04113540327,0.933306979731,11,64,75,1.06340812691,0.498070916774,0,1,0,0,1,0,0,0
37,0,0,0.863841219016,0.860608925989,1.14113540327,1.00348448061,4,55,59,1.10688638778,0.498070916774,0,0,1,0,1,0,0,0
38,0,0,0.84343305575,0.843604786824,1.19113540327,0.968454505299,19,55,74,1.15036464865,0.498070916774,0,0,1,0,1,0,0,0
39,0,0,0.84343305575,0.843604786824,1.09113540327,0.968454505299,9,67,76,1.19384290952,0.498070916774,0,0,1,0,1,0,0,0
40,0,0,0.84343305575,0.843604786824,0.95113540327,1.00348448061,7,58,65,1.23732117039,0.498070916774,1,0,0,0,1,0,0,0
41,0,0,0.863841219016,0.843604786824,0.84113540327,1.16147202029,10,43,53,1.28079943126,0.498070916774,0,1,0,0,1,0,0,0
42,0,0,0.823024892485,0.792816108001,0.80113540327,1.30182702205,1,29,30,1.32427769213,0.498070916774,1,0,0,0,1,0,0,0
43,0,0,0.80261672922,0.775811968835,0.77113540327,1.1965019956,5,17,22,1.367755953,0.498070916774,1,0,0,0,1,0,0,0
44,0,0,0.761800402689,0.725023290012,0.82113540327,1.16147202029,11,20,31,1.41123421387,0.498070916774,1,0,0,0,1,0,0,0
45,0,0,0.741392239424,0.708019150847,0.82113540327,1.12632449472,0,9,9,1.45471247474,0.498070916774,1,0,0,0,1,0,0,0
46,0,0,0.720984076158,0.725023290012,0.85113540327,0.968454505299,0,8,8,1.49819073561,0.498070916774,1,0,0,0,1,0,0,0
47,0,1,0.720984076158,0.691126881018,0.82113540327,1.1965019956,0,5,5,0.498190735608,0.498070916774,1,0,0,0,1,0,0,0
48,0,1,0.700575912893,0.657230472023,0.82113540327,1.26667949648,0,2,2,0.541668996477,0.498070916774,1,0,0,0,1,0,0,0
49,0,1,0.659759586363,0.623334063029,0.85113540327,1.23164952117,0,1,1,0.672103779086,0.498070916774,1,0,0,0,1,0,0,0
50,0,1,0.659759586363,0.623334063029,0.85113540327,1.10880950706,0,3,3,0.715582039956,0.498070916774,1,0,0,0,1,0,0,0
51,0,1,0.639351423097,0.589437654035,0.88113540327,1.23164952117,0,30,30,0.759060300825,0.498070916774,1,0,0,0,1,0,0,0
52,0,1,0.639351423097,0.623334063029,0.88113540327,1.00348448061,1,63,64,0.802538561695,0.498070916774,1,0,0,0,1,0,0,0
53,0,1,0.639351423097,0.606329923864,0.88113540327,1.10880950706,1,153,154,0.846016822564,0.498070916774,1,0,0,0,1,0,0,0
